"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
0.00083352,0.073212,0.031402,-0.1785,2018.1,-0.0077217,0,0.11606,798.08,557.81,0.20256,1.1041,0.0030478,1.6,-0.019756
0.00085193,0.00020116,0.030884,-0.0089255,2056.2,-0.0038178,0,0.11715,822.24,562.28,0.032465,1.1973,0.00027899,1.6,-0.0097679
0.0005521,0.4823,0.019018,0.37441,1429.2,0.011667,0,0.11023,436.26,460.28,1.0533,-0.29288,0.017972,1.6,0.029851
0.00051209,0.50628,0.016904,0.3007,1332.8,0.013897,0,0.10689,397.51,452.23,1.1038,-0.44249,0.026517,1.6,0.035556
0.00050705,0.5101,0.016608,0.28758,1320.4,0.014383,0,0.10606,392.81,451.33,1.1094,-0.46065,0.028647,1.6,0.0368
0.00050568,0.51383,0.016573,0.27997,1317.3,0.014785,0,0.10532,391.35,450.87,1.1123,-0.46629,0.030535,1.6,0.037829
0.00050349,0.51978,0.016552,0.26823,1312.3,0.015426,0,0.10411,388.91,450,1.1177,-0.47572,0.033628,1.6,0.039467
0.00050227,0.52321,0.01652,0.2616,1309.6,0.015798,0,0.10339,387.48,449.44,1.1211,-0.48121,0.035484,1.6,0.040421
0.00053258,0.49152,0.018003,0.34349,1381.9,0.012347,0,0.10934,417.61,456.81,1.0751,-0.36491,0.020255,1.6,0.031589
0.00052306,0.49833,0.017478,0.32481,1359.2,0.01302,0,0.1083,408.15,454.57,1.0892,-0.40141,0.022898,1.6,0.033312
0.00050074,0.52716,0.01658,0.25563,1306.6,0.016157,0,0.10265,385.4,448.39,1.1277,-0.48927,0.03737,1.6,0.041337
0.00051612,0.50331,0.017087,0.31119,1342.6,0.013511,0,0.10755,401.25,452.92,1.0994,-0.42807,0.024825,1.6,0.034569
0.00050449,0.51686,0.01652,0.2737,1314.5,0.015117,0,0.10471,390.1,450.48,1.1147,-0.47112,0.03209,1.6,0.038677
0.00049945,0.53045,0.016602,0.25067,1304,0.016454,0,0.10204,383.64,447.5,1.1332,-0.49605,0.038935,1.6,0.042097
0.00049711,0.53383,0.016665,0.24574,1299.1,0.016747,0,0.1014,380.57,446,1.1425,-0.50791,0.04057,1.6,0.042848
0.00049428,0.53791,0.016667,0.2398,1293.3,0.017101,0,0.10063,376.86,444.19,1.1537,-0.52222,0.042541,1.6,0.043753
0.00049031,0.54195,0.016698,0.23407,1285,0.017446,0,0.099829,371.72,441.65,1.1694,-0.54209,0.044584,1.6,0.044636
0.00048686,0.54555,0.016688,0.22906,1277.9,0.01775,0,0.099127,367.22,439.43,1.1831,-0.55944,0.04638,1.6,0.045413
0.00048021,0.5495,0.016477,0.22096,1263.5,0.018152,0,0.098134,359.16,435.69,1.2061,-0.59058,0.048921,1.6,0.046443
0.0004763,0.55168,0.016321,0.21621,1255,0.018386,0,0.097559,354.46,433.56,1.2192,-0.60872,0.050392,1.6,0.047041
0.00047457,0.55216,0.016158,0.21418,1251.1,0.018473,0,0.097331,352.49,432.71,1.2244,-0.61631,0.050976,1.6,0.047264
0.00046309,0.55406,0.01523,0.20076,1224.9,0.019015,0,0.0959,339.89,427.6,1.2558,-0.66495,0.054637,1.6,0.048649
0.00045303,0.55837,0.014774,0.18864,1203.1,0.019667,0,0.094028,327.76,421.46,1.2934,-0.71182,0.059425,1.6,0.050319
0.00045098,0.55924,0.014665,0.18618,1198.6,0.019799,0,0.093649,325.29,420.21,1.301,-0.72134,0.060397,1.6,0.050657
0.00044854,0.55907,0.014603,0.18296,1192.9,0.019943,0,0.093196,322.75,419.18,1.3073,-0.73113,0.061556,1.6,0.051026
0.00043847,0.55851,0.014003,0.16962,1169.4,0.020544,0,0.091307,312.25,414.88,1.3336,-0.77167,0.066389,1.6,0.052563
0.00043118,0.55713,0.013757,0.15845,1151.9,0.02113,0,0.089294,305.02,412.12,1.3504,-0.79958,0.071538,1.6,0.054062
0.00042906,0.55669,0.013654,0.15522,1146.8,0.021299,0,0.088715,302.94,411.33,1.3552,-0.80764,0.07302,1.6,0.054493
0.00042776,0.55658,0.013596,0.15261,1143.7,0.021479,0,0.088045,301.63,410.8,1.3584,-0.81267,0.074735,1.6,0.054954
0.00042343,0.55626,0.013154,0.14399,1133.3,0.022075,0,0.085822,297.28,409.03,1.3691,-0.82947,0.080421,1.6,0.05648
0.00042093,0.55602,0.012726,0.13741,1127.2,0.022563,0,0.083865,294.92,408.18,1.3743,-0.83859,0.085429,1.6,0.057729
0.00041931,0.55566,0.012456,0.13343,1123.2,0.022852,0,0.082709,293.43,407.7,1.3772,-0.84433,0.088386,1.6,0.058468
0.00041808,0.55534,0.012113,0.12985,1120.2,0.02312,0,0.081558,292.39,407.43,1.379,-0.84837,0.091331,1.6,0.059153
0.0004151,0.55395,0.011165,0.12236,1112.7,0.023664,0,0.07921,289.95,406.95,1.3823,-0.85777,0.097338,1.6,0.060544
0.00041402,0.55432,0.010769,0.11756,1110.4,0.024163,0,0.07686,288.98,406.63,1.3849,-0.86154,0.10335,1.6,0.061822
0.00041286,0.55473,0.010253,0.11243,1107.9,0.024698,0,0.074346,287.91,406.28,1.3877,-0.86565,0.10978,1.6,0.063189
0.00041094,0.55411,0.0099056,0.10647,1103.5,0.025299,0,0.071238,286.41,406.03,1.3903,-0.87145,0.11774,1.6,0.064727
0.00040967,0.55376,0.0095625,0.10239,1100.7,0.025712,0,0.069102,285.4,405.87,1.3921,-0.87533,0.1232,1.6,0.065784
0.00040869,0.55344,0.009374,0.099253,1098.5,0.026113,0,0.066839,284.63,405.74,1.3935,-0.87832,0.12899,1.6,0.066811
0.00040708,0.55293,0.0089907,0.094183,1094.9,0.026763,0,0.063174,283.36,405.52,1.3959,-0.88323,0.13837,1.6,0.068475
0.00040484,0.55218,0.0086874,0.086899,1089.3,0.027672,0,0.057596,281.32,404.83,1.4001,-0.89111,0.15264,1.6,0.0708
0.00040434,0.55196,0.0086165,0.085452,1088.1,0.027851,0,0.056501,280.89,404.71,1.4009,-0.89276,0.15544,1.6,0.071258
0.00040424,0.55204,0.0086157,0.084896,1087.8,0.02792,0,0.056041,280.73,404.58,1.4014,-0.89339,0.15662,1.6,0.071433
0.00040205,0.55221,0.0084366,0.076335,1081.3,0.028936,0,0.049164,277.88,402.66,1.4097,-0.90439,0.17421,1.6,0.074034
0.00040364,0.55816,0.0087027,0.070359,1083.6,0.029989,0,0.041121,276.57,399.19,1.4232,-0.90943,0.19479,1.6,0.076729
0.00040414,0.56005,0.0087776,0.068451,1084.3,0.030325,0,0.038556,276.15,398.09,1.4276,-0.91106,0.20135,1.6,0.077588
0.00040506,0.56292,0.0089709,0.066237,1085.7,0.030704,0,0.035238,275.6,396.39,1.434,-0.9132,0.20984,1.6,0.078558
0.00040756,0.57047,0.0094568,0.060669,1089.5,0.031664,0,0.026841,274.27,392.05,1.4504,-0.91834,0.23133,1.6,0.081012
0.00041061,0.57861,0.010084,0.055727,1094.7,0.032547,0,0.01788,273.25,387.72,1.467,-0.92227,0.25425,1.6,0.083273
0.00041254,0.58385,0.010498,0.052544,1098,0.033141,0,0.011918,272.54,384.88,1.4778,-0.92499,0.26951,1.6,0.084793
0.00041396,0.58755,0.010828,0.050338,1100.7,0.03353,0,0.0074245,272.21,383.1,1.485,-0.92627,0.281,1.6,0.085788
0.00041843,0.5987,0.011735,0.044039,1109.9,0.034702,0,-0.0071528,271.63,378.21,1.5052,-0.9285,0.3183,1.6,0.088785
0.00074243,0.2826,0.028487,-0.28135,1822.7,-0.013179,0,0.11236,685.68,538,0.47467,0.67011,0.012535,1.6,-0.033718
0.00066549,0.50637,0.024776,-0.24926,1674.5,-0.018623,0,0.10425,573.86,502.37,0.77264,0.23839,0.033268,1.6,-0.047648
0.00066639,0.50465,0.024825,-0.25043,1676.3,-0.018543,0,0.10441,575.07,502.75,0.7699,0.24306,0.032855,1.6,-0.047444
0.00067334,0.48991,0.025187,-0.25951,1690.2,-0.017912,0,0.10565,584.61,505.82,0.7476,0.27989,0.029701,1.6,-0.045828
0.0006748,0.48695,0.025313,-0.26144,1693.3,-0.017791,0,0.10587,586.57,506.4,0.74328,0.28744,0.029124,1.6,-0.04552
0.00068197,0.46924,0.025692,-0.2709,1707.4,-0.017163,0,0.10701,596.65,509.7,0.71873,0.32637,0.026223,1.6,-0.043911
0.00068526,0.46224,0.025961,-0.27465,1714.1,-0.016927,0,0.10741,601.05,510.98,0.70903,0.34335,0.025199,1.6,-0.043308
0.00069324,0.44093,0.026241,-0.28311,1729.7,-0.016334,0,0.10837,612.45,514.68,0.68058,0.38735,0.022722,1.6,-0.041791
0.0006991,0.42249,0.026669,-0.28733,1740.6,-0.015871,0,0.10907,621.3,517.74,0.65635,0.42155,0.020943,1.6,-0.040606
0.00073072,0.31843,0.028074,-0.28955,1799.8,-0.013819,0,0.11171,669,533.38,0.52136,0.60571,0.014197,1.6,-0.035357
